TrackTitle,TrackDescription,FileName,Keywords,MediaCode,TrackTime,TrackCD,TrackTrack,TrackIndex,
MuseumMurmur BT012301,Museum / Art Gallery - Group Murmur Reverberant,MuseumMurmur BT012301.wav,Crowd-Stores & Halls Museums,BT-01 Interiors,0:01:43,BT-01,23,1,
MuseumMurmur BT012301,Museum / Art Gallery - Group Murmur Reverberant,MuseumMurmur BT012301.wav,Crowd-Stores & Halls Museums,BT-01 Interiors,0:01:43,BT-01,23,1,
NightJungleDenseCi BT021501,Night Jungle - Dense Cicadas Crickets Frogs,NightJungleDenseCi BT021501.wav,Animals-Jungle BGs Backgrounds,BT-02 Nature,0:02:04,BT-02,15,1,
NightJungleDenseCi BT021501,Night Jungle - Dense Cicadas Crickets Frogs,NightJungleDenseCi BT021501.wav,Animals-Jungle BGs Backgrounds,BT-02 Nature,0:02:04,BT-02,15,1,
NightMountainCrick BT021601,Night Mountain - Crickets Dogs Coyote,NightMountainCrick BT021601.wav,Animals-Bird BGs Mountains,BT-02 Nature,0:02:04,BT-02,16,1,
NightMountainCrick BT021601,Night Mountain - Crickets Dogs Coyote,NightMountainCrick BT021601.wav,Animals-Bird BGs Mountains,BT-02 Nature,0:02:04,BT-02,16,1,
NightRuralCrickets BT021701,Night Rural - Crickets And Frogs,NightRuralCrickets BT021701.wav,Animals-Bird BGs Rural,BT-02 Nature,0:02:03,BT-02,17,1,
NightRuralCrickets BT021701,Night Rural - Crickets And Frogs,NightRuralCrickets BT021701.wav,Animals-Bird BGs Rural,BT-02 Nature,0:02:03,BT-02,17,1,
NightSuburbanDista BT040301,Night - Suburban / Distant Barks Distant Highway,NightSuburbanDista BT040301.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:04,BT-04,3,1,
NightSuburbanDista BT040301,Night - Suburban / Distant Barks Distant Highway,NightSuburbanDista BT040301.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:04,BT-04,3,1,
NightSuburbanMostl BT040401,Night - Suburban / Mostly Crickets Distant Highway,NightSuburbanMostl BT040401.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:33,BT-04,4,1,
NightSuburbanMostl BT040401,Night - Suburban / Mostly Crickets Distant Highway,NightSuburbanMostl BT040401.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:33,BT-04,4,1,
NightSuburbanVeryQ BT040501,Night- Suburban / Very Quiet Distant Barks Etc.,NightSuburbanVeryQ BT040501.wav,Traffic Big City,BT-04 Urban/Suburban,0:03:33,BT-04,5,1,
NightSuburbanVeryQ BT040501,Night- Suburban / Very Quiet Distant Barks Etc.,NightSuburbanVeryQ BT040501.wav,Traffic Big City,BT-04 Urban/Suburban,0:03:33,BT-04,5,1,
NightUrbanTrucksCa BT040601,Night - Urban / Trucks Cars Crickets Etc.,NightUrbanTrucksCa BT040601.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:33,BT-04,6,1,
NightUrbanTrucksCa BT040601,Night - Urban / Trucks Cars Crickets Etc.,NightUrbanTrucksCa BT040601.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:33,BT-04,6,1,
NightUrbanTrucksCa BT040701,Night - Urban / Trucks Cars Crickets Distant Sirens,NightUrbanTrucksCa BT040701.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:34,BT-04,7,1,
NightUrbanTrucksCa BT040701,Night - Urban / Trucks Cars Crickets Distant Sirens,NightUrbanTrucksCa BT040701.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:34,BT-04,7,1,
PaddleBoatFastOars BT040801,Paddle Boat - Fast Oars Or Paddles,PaddleBoatFastOars BT040801.wav,Boats & Ships Paddle Boat,BT-04 Urban/Suburban,0:02:03,BT-04,8,1,
PaddleBoatFastOars BT040801,Paddle Boat - Fast Oars Or Paddles,PaddleBoatFastOars BT040801.wav,Boats & Ships Paddle Boat,BT-04 Urban/Suburban,0:02:03,BT-04,8,1,
PaddleBoatSlow BT040901,Paddle Boat - Slow,PaddleBoatSlow BT040901.wav,Boats & Ships Paddle Boat,BT-04 Urban/Suburban,0:02:03,BT-04,9,1,
PaddleBoatSlow BT040901,Paddle Boat - Slow,PaddleBoatSlow BT040901.wav,Boats & Ships Paddle Boat,BT-04 Urban/Suburban,0:02:03,BT-04,9,1,
ParkingStructureUn BT041301,Parking Structure - Underground With Cars Echoey,ParkingStructureUn BT041301.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:04,BT-04,13,1,
ParkingStructureUn BT041301,Parking Structure - Underground With Cars Echoey,ParkingStructureUn BT041301.wav,Traffic EXT Various,BT-04 Urban/Suburban,0:03:04,BT-04,13,1,
